raw,sex,depression,anxiety,anxiety_depression
0,Boys,32,32,30
1,Boys,34,34,31
2,Boys,37,36,32
3,Boys,39,38,33
4,Boys,42,40,35
5,Boys,44,41,36
6,Boys,46,43,37
7,Boys,49,45,38
8,Boys,51,47,39
9,Boys,54,49,40
10,Boys,56,51,42
11,Boys,58,52,43
12,Boys,61,54,44
13,Boys,63,56,45
14,Boys,66,58,46
15,Boys,68,60,47
16,Boys,70,62,49
17,Boys,73,63,50
18,Boys,75,65,51
19,Boys,78,67,52
20,Boys,80,69,53
21,Boys,82,71,54
22,Boys,85,73,56
23,Boys,87,74,57
24,Boys,89,76,58
25,Boys,92,78,59
26,Boys,94,80,60
27,Boys,97,82,61
28,Boys,99,84,63
29,Boys,101,85,64
30,Boys,104,87,65
31,Boys,,89,66
32,Boys,,91,67
33,Boys,,93,69
34,Boys,,95,70
35,Boys,,96,71
36,Boys,,98,72
37,Boys,,100,73
38,Boys,,102,74
39,Boys,,104,76
40,Boys,,106,77
41,Boys,,107,78
42,Boys,,109,79
43,Boys,,111,80
44,Boys,,113,81
45,Boys,,115,83
46,Boys,,,84
47,Boys,,,85
48,Boys,,,86
49,Boys,,,87
50,Boys,,,88
51,Boys,,,90
52,Boys,,,91
53,Boys,,,92
54,Boys,,,93
55,Boys,,,94
56,Boys,,,95
57,Boys,,,97
58,Boys,,,98
59,Boys,,,99
60,Boys,,,100
61,Boys,,,101
62,Boys,,,103
63,Boys,,,104
64,Boys,,,105
65,Boys,,,106
66,Boys,,,107
67,Boys,,,108
68,Boys,,,110
69,Boys,,,111
70,Boys,,,112
71,Boys,,,113
72,Boys,,,114
73,Boys,,,115
74,Boys,,,117
75,Boys,,,118
0,Girls,31,29,27
1,Girls,34,31,29
2,Girls,36,33,30
3,Girls,38,34,31
4,Girls,41,36,32
5,Girls,43,38,33
6,Girls,45,40,34
7,Girls,47,42,36
8,Girls,50,44,37
9,Girls,52,46,38
10,Girls,54,48,39
11,Girls,57,49,40
12,Girls,59,51,41
13,Girls,61,53,43
14,Girls,63,55,44
15,Girls,66,57,45
16,Girls,68,59,46
17,Girls,70,61,47
18,Girls,73,63,48
19,Girls,75,64,49
20,Girls,77,66,51
21,Girls,79,68,52
22,Girls,82,70,53
23,Girls,84,72,54
24,Girls,86,74,55
25,Girls,89,76,56
26,Girls,91,78,58
27,Girls,93,79,59
28,Girls,95,81,60
29,Girls,98,83,61
30,Girls,100,85,62
31,Girls,,87,63
32,Girls,,89,65
33,Girls,,91,66
34,Girls,,93,67
35,Girls,,94,68
36,Girls,,96,69
37,Girls,,98,70
38,Girls,,100,71
39,Girls,,102,73
40,Girls,,104,74
41,Girls,,106,75
42,Girls,,108,76
43,Girls,,109,77
44,Girls,,111,78
45,Girls,,113,80
46,Girls,,,81
47,Girls,,,82
48,Girls,,,83
49,Girls,,,84
50,Girls,,,85
51,Girls,,,87
52,Girls,,,88
53,Girls,,,89
54,Girls,,,90
55,Girls,,,91
56,Girls,,,92
57,Girls,,,94
58,Girls,,,95
59,Girls,,,96
60,Girls,,,97
61,Girls,,,98
62,Girls,,,99
63,Girls,,,100
64,Girls,,,102
65,Girls,,,103
66,Girls,,,104
67,Girls,,,105
68,Girls,,,106
69,Girls,,,107
70,Girls,,,109
71,Girls,,,110
72,Girls,,,111
73,Girls,,,112
74,Girls,,,113
75,Girls,,,114
